Team,BGR,,Team,KAERI,,Team,NARI,,Team,NWMO,,Team,SSM-UU,,Team,SURAO,,Team,CNSC
Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture 
Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4
Sim ID,4BGR-DA,,Sim ID,4KAERI-DA,,Sim ID,4NARI-EP,,Sim ID,4NWMO-DA,,Sim ID,4SSM-UU-DA,,Sim ID,4SURAO-EA,,Sim ID,4CNSC-DA
Approach,DFN ADE,,Approach,DFN,,Approach,ECPM & Particle tracking,,Approach,DFN ADE (COMSOL),,Approach,DFN,,Approach,CPM with zero matrix porosity,,Approach,With COMSOL ver 6.0
,,,,,,,,,,,,,,,,,,conservative,
Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj
0,0.00E+00,,0,0,,5.19E-01,1.00E-04,,0,-1.29E-34,,0.00001,2.24E-141,,3.17E-08,1.18E-20,,0,5.90E-80
0.0015,-5.04E-65,,0.001,0,,5.19E-01,2.00E-04,,1.76E-08,-1.29E-34,,1.01E-05,2.24E-141,,9.51E-08,1.13E-20,,3.17E-05,1.59E-78
0.00315,-1.51E-62,,0.002,0,,5.20E-01,3.00E-04,,3.53E-08,-1.29E-34,,1.02E-05,2.21E-141,,2.22E-07,1.08E-20,,6.34E-05,-2.12E-78
0.004965,-3.37E-61,,0.003,0,,5.21E-01,4.00E-04,,7.06E-08,-1.29E-34,,1.04E-05,2.16E-141,,4.76E-07,1.04E-20,,0.000126752,-2.86E-78
0.0069615,-5.96E-60,,0.004,0,,5.22E-01,5.00E-04,,1.41E-07,-1.29E-34,,1.05E-05,2.11E-141,,2.00E-06,1.01E-20,,0.000253505,2.16E-78
0.00915765,-9.31E-60,,0.005,0,,5.25E-01,6.00E-04,,2.82E-07,-1.29E-34,,1.06E-05,2.04E-141,,4.03E-06,1.01E-20,,0.000507009,-6.94E-79
0.011573415,1.97E-58,,0.006,0,,5.25E-01,7.00E-04,,5.65E-07,-1.29E-34,,1.07E-05,1.97E-141,,8.09E-06,1.00E-20,,0.001014019,-6.81E-80
0.014230757,9.67E-59,,0.007,0,,5.31E-01,8.00E-04,,1.13E-06,-1.29E-34,,1.08E-05,1.90E-141,,1.62E-05,1.00E-20,,0.002028038,-7.18E-80
0.017153832,-2.06E-57,,0.008,0,,5.31E-01,9.00E-04,,2.26E-06,-1.29E-34,,1.10E-05,1.83E-141,,3.24E-05,1.00E-20,,0.004056075,-1.86E-80
0.020369215,1.40E-56,,0.009,0,,5.33E-01,1.00E-03,,4.52E-06,-1.29E-34,,1.11E-05,1.79E-141,,6.49E-05,1.00E-20,,0.00811215,-1.65E-81
0.023906137,1.83E-53,,0.01,0,,5.33E-01,1.10E-03,,6.78E-06,-1.29E-34,,1.12E-05,1.83E-141,,0.000129852,1.00E-20,,0.012168226,2.54E-81
0.027796751,1.54E-50,,0.02,0,,5.33E-01,1.20E-03,,9.03E-06,-1.29E-34,,1.14E-05,1.54E-141,,0.000259735,1.00E-20,,0.016224301,1.62E-80
0.032076426,-6.65E-48,,0.03,0,,5.34E-01,1.30E-03,,1.36E-05,-1.29E-34,,1.15E-05,-8.04E-140,,0.000519502,1.00E-20,,0.020280376,-1.89E-80
0.036784068,-1.23E-44,,0.04,0,,5.34E-01,1.40E-03,,1.81E-05,-1.29E-34,,1.16E-05,-2.85E-137,,0.001039035,1.00E-20,,0.024336451,2.45E-78
0.041962475,-6.31E-42,,0.05,0,,5.37E-01,1.50E-03,,2.71E-05,-1.29E-34,,1.17E-05,-7.00E-134,,0.002078101,1.00E-20,,0.028392527,1.16E-74
0.047658723,-1.82E-39,,0.06,0,,5.39E-01,1.60E-03,,3.46E-05,-1.29E-34,,1.19E-05,-2.26E-129,,0.002739726,1.00E-20,,0.032448602,5.32E-72
0.053924595,-3.57E-37,,0.07,0,,5.39E-01,1.70E-03,,4.21E-05,-1.29E-34,,1.20E-05,-1.43E-123,,0.004817859,1.76E-20,,0.036504677,1.66E-70
0.060817054,-3.36E-35,,0.08,0,,5.40E-01,1.80E-03,,4.95E-05,-1.29E-34,,1.22E-05,-1.66E-116,,0.008974125,3.28E-20,,0.044616828,-1.31E-67
0.06839876,1.97E-32,,0.09,0,,5.41E-01,1.90E-03,,5.70E-05,-1.29E-34,,1.23E-05,-1.64E-107,,0.017286657,6.31E-20,,0.052728978,-1.26E-63
0.076738636,1.54E-29,,0.1,0,,5.41E-01,2.00E-03,,6.45E-05,-1.29E-34,,1.24E-05,-7.55E-98,,0.03391172,1.28E-19,,0.060841129,1.30E-61
0.085912499,5.77E-27,,0.11,0,,5.41E-01,2.10E-03,,7.20E-05,-1.29E-34,,1.26E-05,-5.09E-91,,0.05,1.95E-18,,0.068953279,-5.90E-59
0.096003749,1.37E-24,,0.12,0,,5.43E-01,2.20E-03,,8.69E-05,-1.29E-34,,1.27E-05,-1.72E-86,,0.083250127,3.85E-11,,0.07706543,-4.27E-56
0.107104124,2.21E-22,,0.13,0,,5.43E-01,2.30E-03,,1.17E-04,-1.29E-34,,1.29E-05,-5.10E-82,,0.1,7.73E-11,,0.08517758,1.64E-54
0.119314536,2.51E-20,,0.14,0,,5.46E-01,2.40E-03,,1.44E-04,-1.29E-34,,1.30E-05,-4.36E-79,,0.15,1.58E-07,,0.093289731,3.90E-52
0.13274599,2.05E-18,,0.15,0,,5.46E-01,2.50E-03,,1.67E-04,-1.29E-34,,1.32E-05,-1.89E-77,,0.2,2.06E-06,,0.101401881,-2.50E-50
0.147520589,1.23E-16,,0.16,0,,5.47E-01,2.60E-03,,1.90E-04,-1.29E-34,,1.33E-05,-1.72E-76,,0.25,1.42E-05,,0.109514031,-7.86E-50
0.163772648,5.51E-15,,0.17,0,,5.48E-01,2.70E-03,,2.14E-04,-1.29E-34,,1.35E-05,-7.40E-76,,0.3,6.76E-05,,0.117626182,1.16E-50
0.181649913,1.87E-13,,0.18,0,,5.51E-01,2.80E-03,,2.37E-04,-1.29E-34,,1.36E-05,-2.06E-75,,0.35,2.50E-04,,0.125738332,-1.89E-49
0.201314904,4.89E-12,,0.19,0,,5.52E-01,2.90E-03,,2.60E-04,-1.29E-34,,1.38E-05,-4.39E-75,,0.4,7.66E-04,,0.133850483,3.47E-49
0.222946395,9.96E-11,,0.2,0,,5.53E-01,3.00E-03,,2.84E-04,-1.29E-34,,1.40E-05,-7.90E-75,,0.45,2.01E-03,,0.141962633,7.39E-49
0.246741034,1.60E-09,,0.21,0,,5.53E-01,3.10E-03,,3.07E-04,-1.29E-34,,1.41E-05,-1.27E-74,,0.5,4.65E-03,,0.150074784,7.58E-48
0.272915137,2.04E-08,,0.22,0,,5.55E-01,3.20E-03,,3.30E-04,-1.29E-34,,1.43E-05,-1.87E-74,,0.55,9.66E-03,,0.158186934,8.29E-47
0.301706651,2.09E-07,,0.23,0,,5.56E-01,3.30E-03,,3.54E-04,-1.29E-34,,1.45E-05,-2.61E-74,,0.6,1.83E-02,,0.166299085,7.17E-48
0.333377316,1.74E-06,,0.24,0,,5.56E-01,3.40E-03,,3.77E-04,-1.29E-34,,1.46E-05,-3.48E-74,,0.65,3.20E-02,,0.174411235,-3.09E-45
0.368215048,1.19E-05,,0.25,0,,5.57E-01,3.50E-03,,4.01E-04,-1.29E-34,,1.48E-05,-4.49E-74,,0.7,5.22E-02,,0.182523386,-2.13E-44
0.406536553,6.72E-05,,0.26,0,,5.61E-01,3.60E-03,,4.24E-04,-1.29E-34,,1.50E-05,-5.63E-74,,0.75,8.00E-02,,0.190635536,-7.53E-44
0.448690208,3.16E-04,,0.27,0,,5.62E-01,3.70E-03,,4.47E-04,-1.29E-34,,1.51E-05,-6.92E-74,,0.8,1.16E-01,,0.198747687,-1.02E-43
0.495059229,1.25E-03,,0.28,0,,5.62E-01,3.80E-03,,4.71E-04,-1.29E-34,,1.53E-05,-8.36E-74,,0.85,1.60E-01,,0.206859837,4.26E-43
0.546065152,4.16E-03,,0.29,0,,5.62E-01,3.90E-03,,4.94E-04,-1.29E-34,,1.55E-05,-9.93E-74,,0.9,2.11E-01,,0.214971988,1.63E-41
0.602171667,1.19E-02,,0.3,0,,5.63E-01,4.00E-03,,5.17E-04,-1.29E-34,,1.57E-05,-1.17E-73,,0.95,2.68E-01,,0.223084138,6.48E-40
0.663888834,2.92E-02,,0.31,0,,5.65E-01,4.10E-03,,5.41E-04,-1.29E-34,,1.58E-05,-1.35E-73,,1,3.28E-01,,0.231196289,-1.71E-38
0.731777717,6.23E-02,,0.32,0,,5.65E-01,4.20E-03,,5.64E-04,-1.29E-34,,1.60E-05,-1.56E-73,,1.05,3.90E-01,,0.239308439,-1.48E-36
